№,Наличие согласия,Согласие в МГУ,Сумма баллов,Математика (ДВИ),Математика (ЕГЭ),Физика,Русский язык,Индивидуальные достижения - аттестат,Индивидуальные достижения - сочинение,Индивидуальные достижения - ГТО,Преимущественное право зачисления,Право на общежитие,Статус
251,Нет,Да,369,75,100,100,86,6,2,0,Нет,Да,В конкурсе
252,Нет,Да,369,75,96,100,96,0,2,0,Нет,Да,В конкурсе
253,Нет,Нет,369,75,92,100,94,6,2,0,Нет,Да,В конкурсе
254,Нет,Да,369,70,92,97,100,6,2,2,Нет,Да,В конкурсе
255,Нет,Нет,368,100,99,87,80,0,2,0,Нет,Да,В конкурсе
256,Нет,Да,368,100,94,74,98,0,2,0,Нет,Нет,В конкурсе
257,Нет,Нет,368,100,92,76,98,0,2,0,Нет,Нет,В конкурсе
258,Нет,Нет,368,95,88,91,92,0,2,0,Нет,Да,В конкурсе
259,Нет,Нет,368,85,98,93,88,0,2,2,Нет,Нет,В конкурсе
260,Нет,Да,368,85,96,91,94,0,2,0,Нет,Да,В конкурсе
261,Нет,Нет,368,85,92,97,86,6,2,0,Нет,Да,В конкурсе
262,Нет,Да,368,80,84,100,94,6,2,2,Нет,Да,В конкурсе
263,Нет,Да,368,75,98,97,90,6,2,0,Нет,Да,В конкурсе
264,Нет,Нет,368,70,92,100,98,6,2,0,Нет,Да,В конкурсе
265,Нет,Нет,367,100,92,85,86,0,2,2,Нет,Да,В конкурсе
266,Нет,Да,367,90,100,83,92,0,2,0,Нет,Нет,В конкурсе
267,Нет,Да,367,90,92,85,98,0,2,0,Нет,Нет,В конкурсе
268,Нет,Нет,367,90,90,100,85,0,2,0,Нет,Да,В конкурсе
269,Нет,Да,367,90,90,96,89,0,2,0,Нет,Да,В конкурсе
270,Нет,Да,367,90,86,91,98,0,2,0,Нет,Да,В конкурсе
271,Нет,Да,367,85,92,92,96,0,2,0,Нет,Да,В конкурсе
272,Нет,Да,367,80,100,91,94,0,2,0,Нет,Нет,В конкурсе
273,Нет,Да,367,80,98,97,90,0,2,0,Нет,Да,В конкурсе
274,Нет,Нет,367,80,98,83,98,6,2,0,Нет,Нет,В конкурсе
275,Нет,Да,367,80,94,91,94,6,2,0,Нет,Нет,В конкурсе
276,Нет,Да,367,80,92,93,92,6,2,2,Нет,Нет,В конкурсе
277,Нет,Да,367,80,84,99,96,6,2,0,Нет,Нет,В конкурсе
278,Нет,Да,367,70,92,99,98,6,2,0,Нет,Нет,В конкурсе
279,Нет,Да,366,90,99,87,82,6,2,0,Нет,Да,В конкурсе
280,Нет,Нет,366,90,94,80,94,6,2,0,Нет,Нет,В конкурсе
281,Нет,Да,366,85,92,89,96,0,2,2,Нет,Да,В конкурсе
282,Да,Да,366,80,84,100,92,6,2,2,Нет,Нет,В конкурсе
283,Нет,Да,366,80,82,100,96,6,2,0,Нет,Да,В конкурсе
284,Нет,Нет,366,75,96,89,98,6,2,0,Нет,Нет,В конкурсе
285,Нет,Нет,366,75,92,99,98,0,2,0,Нет,Да,В конкурсе
286,Нет,Да,366,75,92,97,94,6,2,0,Нет,Да,В конкурсе
287,Нет,Нет,366,75,90,97,96,6,2,0,Нет,Нет,В конкурсе
288,Нет,Да,366,75,88,99,96,6,2,0,Нет,Да,В конкурсе
289,Нет,Нет,365,100,82,87,88,6,2,0,Нет,Да,В конкурсе
290,Нет,Нет,365,90,92,95,86,0,2,0,Нет,Нет,В конкурсе
291,Нет,Нет,365,90,92,89,86,6,2,0,Нет,Да,В конкурсе
292,Нет,Нет,365,85,92,100,80,6,2,0,Нет,Да,В конкурсе
293,Нет,Нет,365,80,98,95,90,0,2,0,Нет,Да,В конкурсе
294,Нет,Нет,365,80,96,89,90,6,2,2,Нет,Нет,В конкурсе
295,Нет,Да,365,80,94,95,88,6,2,0,Нет,Да,В конкурсе
296,Нет,Нет,365,80,94,91,92,6,2,0,Нет,Нет,В конкурсе
297,Нет,Да,365,80,90,97,88,6,2,2,Нет,Нет,В конкурсе
298,Нет,Нет,365,80,88,91,98,6,2,0,Нет,Да,В конкурсе
299,Нет,Да,365,75,100,86,98,6,0,0,Нет,Да,В конкурсе
300,Да,Да,365,75,99,91,92,6,2,0,Нет,Нет,В конкурсе
301,Нет,Нет,365,70,96,95,96,6,2,0,Нет,Нет,В конкурсе
302,Нет,Да,365,70,90,97,100,6,2,0,Нет,Да,В конкурсе
303,Нет,Нет,365,60,98,97,100,6,2,2,Нет,Нет,В конкурсе
304,Нет,Нет,364,100,100,89,73,0,2,0,Нет,Нет,В конкурсе
305,Да,Да,364,100,86,91,85,0,2,0,Нет,Нет,В конкурсе
306,Нет,Да,364,100,84,100,78,0,2,0,Нет,Нет,В конкурсе
307,Нет,Да,364,85,100,97,82,0,0,0,Нет,Да,В конкурсе
308,Нет,Да,364,80,99,97,86,0,2,0,Нет,Нет,В конкурсе
309,Нет,Да,364,80,84,100,92,6,2,0,Нет,Да,В конкурсе
310,Нет,Нет,364,75,96,89,100,0,2,2,Нет,Да,В конкурсе
311,Нет,Нет,364,75,94,97,96,0,2,0,Нет,Нет,В конкурсе
312,Нет,Да,363,100,88,87,78,6,2,2,Нет,Да,В конкурсе
313,Нет,Нет,363,100,86,93,82,0,2,0,Нет,Нет,В конкурсе
314,Нет,Да,363,100,82,85,94,0,2,0,Нет,Нет,В конкурсе
315,Нет,Да,363,95,96,76,94,0,2,0,Нет,Нет,В конкурсе
316,Нет,Нет,363,90,98,81,94,0,0,0,Нет,Да,В конкурсе
317,Нет,Да,363,90,92,93,86,0,2,0,Нет,Да,В конкурсе
318,Нет,Да,363,90,90,89,92,0,2,0,Нет,Да,В конкурсе
319,Нет,Да,363,90,88,91,90,0,2,2,Нет,Нет,В конкурсе
320,Нет,Да,363,90,86,89,96,0,2,0,Нет,Нет,В конкурсе
321,Нет,Да,363,80,90,85,100,6,2,0,Нет,Да,В конкурсе
322,Нет,Нет,363,80,88,87,98,6,2,2,Нет,Да,В конкурсе
323,Нет,Нет,363,80,86,99,96,0,2,0,Нет,Нет,В конкурсе
324,Нет,Нет,363,80,86,89,98,6,2,2,Нет,Да,В конкурсе
325,Нет,Да,363,70,94,95,96,6,2,0,Нет,Нет,В конкурсе
326,Нет,Да,363,70,94,91,100,6,2,0,Нет,Да,В конкурсе
327,Нет,Нет,362,100,94,72,94,0,2,0,Нет,Нет,В конкурсе
328,Нет,Нет,362,85,94,93,88,0,2,0,Нет,Да,В конкурсе
329,Нет,Да,362,85,88,91,96,0,2,0,Нет,Да,В конкурсе
330,Нет,Нет,362,85,86,99,90,0,2,0,Нет,Да,В конкурсе
331,Нет,Да,362,85,86,87,96,6,2,0,Нет,Да,В конкурсе
332,Нет,Да,362,80,96,100,78,6,2,0,Нет,Да,В конкурсе
333,Нет,Да,362,80,88,94,98,0,2,0,Нет,Нет,В конкурсе
334,Нет,Да,362,80,86,100,88,6,2,0,Нет,Нет,В конкурсе
335,Нет,Да,362,75,96,87,96,6,2,0,Нет,Нет,В конкурсе
336,Нет,Нет,362,75,88,99,92,6,2,0,Нет,Да,В конкурсе
337,Нет,Да,362,70,100,100,82,6,2,2,Нет,Да,В конкурсе
